fuel-type,body-style,drive-wheels,engine-type,num-of-cylinders,horsepower,city-mpg,highway-mpg,price
1,2,2,3,2,145,19,24,12764.0
0,2,1,3,2,56,38,47,7788.0
1,2,1,3,2,92,27,32,9988.0
1,3,1,3,2,70,38,47,7738.0
1,3,1,3,2,69,31,37,7299.0
1,3,2,3,2,114,19,25,22625.0
1,3,2,3,3,121,21,28,20970.0
1,3,1,3,2,68,31,38,7609.0
1,2,2,5,3,200,17,23,19699.0
1,4,1,3,2,76,30,34,7295.0
1,3,1,3,2,84,26,32,8495.0
0,4,2,3,1,123,22,25,28248.0
1,0,2,0,2,111,21,27,16500.0
1,4,1,3,2,88,24,30,8921.0
1,2,2,0,2,112,26,29,9538.0
1,3,2,3,2,78,24,29,6785.0
0,3,2,2,2,95,28,33,13200.0
1,2,1,0,2,160,19,26,18150.0
1,2,1,3,2,92,27,32,11248.0
1,2,1,2,4,48,47,53,5151.0
1,3,1,3,2,86,27,33,8845.0
1,3,1,0,2,160,19,26,18620.0
1,2,2,6,6,101,17,23,11845.0
1,2,1,3,2,70,28,34,8358.0
1,2,1,3,2,110,21,28,11850.0
1,3,1,3,2,76,30,34,7295.0
1,2,1,3,2,145,19,24,12964.0
1,3,2,2,2,142,18,24,18150.0
1,4,0,3,2,62,27,32,8778.0
1,2,1,3,2,60,38,42,5399.0
1,1,2,3,2,116,24,30,11199.0
1,2,1,3,2,104.25615763546799,23,31,9895.0
1,3,2,0,3,156,20,24,15690.0
1,2,1,3,2,76,30,34,6529.0
1,4,1,4,2,82,28,32,7463.0
1,3,1,3,2,92,29,34,8948.0
1,2,1,3,2,62,31,38,6338.0
1,2,1,3,2,58,49,54,6479.0
1,4,1,5,3,152,17,22,14399.0
1,3,1,3,2,88,25,32,6989.0
1,2,1,3,2,145,19,24,12629.0
1,2,1,3,2,68,37,41,5572.0
1,2,1,3,2,62,31,38,6488.0
1,4,2,3,2,114,24,28,16515.0
1,2,2,3,2,175,19,24,16503.0
1,2,1,3,2,116,23,30,9959.0
1,3,1,3,2,68,31,38,7609.0
1,2,2,3,2,116,24,30,9989.0
1,2,1,3,2,145,19,24,14489.0
0,3,1,3,2,68,33,38,13845.0
1,2,2,0,3,161,20,24,16558.0
1,3,2,3,2,114,23,28,12940.0
1,3,1,3,2,86,27,33,10295.0
1,2,1,3,2,84,26,32,10595.0
1,3,0,4,2,82,24,25,9233.0
1,3,1,3,2,69,31,37,6649.0
1,3,2,5,0,184,14,16,40960.0
0,3,1,3,2,55,45,50,7099.0
1,2,1,3,2,86,27,33,7895.0
1,2,1,3,2,68,31,38,6377.0
1,3,2,3,2,101,23,29,16430.0
1,2,2,5,3,160,19,25,18399.0
1,4,2,3,2,162,17,22,18950.0
0,3,2,3,1,123,22,25,31600.0
1,3,2,3,2,114,24,28,15985.0
1,2,1,3,2,68,31,38,6229.0
1,2,1,3,2,68,30,31,5195.0
1,3,1,3,2,92,27,32,10898.0
